description,points
"Soft peach and wild berries lead the way on the nose, while the medium weight mouth offers a bit more fleshy stone fruit and watermelon flavors. The finish is dry and accented by hints of peppery spice.",84
"This crisp, dry and elegant wine is light-bodied, with delicate bread dough and flower aromas, citrus flavors and gentle effervescence. It's smooth, clean and delicious.",88
"This hails from a 1,000–1,400-foot elevation site above the valley floor called Oakville Ranch that contributes beautiful power in its firm, integrated tannin and oak. Balanced, the wine exudes lovely notes of boysenberry tart, blackberry and cedar, with a dusting of clove.",92
"Intriguingly floral and savory upfront, this delicate wine then adds a deep base of ripe cherries that expand effortlessly across the palate, giving an impression of fullness without weight, suppleness without being soft. Finishes long, with a great deal of complexity.",91
"With searing, upfront acidity, this wine takes on a briny character that accents the high-toned lemon zest and melon notes on the palate. Aged only in old French oak and stainless steel, its fruit remains fresh and unencumbered through the finish.",90
"This wine is bright with cherry and incense aromas. Cherry and bramble flavors are juicy and fresh, with support from supersoft tannins and zippy acidity. This makes for an easy drinking summer red.",86
"Still very young, this is a Maison Bouey wine with good potential. It offers hints of the ripe yellow fruits and richness that will come as it develops. The touch of perfumed spice means it is also a wine to savor as an apéritif.",90
"Presenting at first as somewhat reduced, this wine is tart and feral, with a muskiness reminiscent of mushroom and forest floor. Its intensely voluptuous body is concentrated in black cherry, cola and cardamom, with a richness and roundness on the palate and finish.",89
"This is the winery's budget offering. It shows modest varietal flavors, with a slight burned or roasted character.",85
"A rare Walla Walla Sauvignon Blanc, this is rich and round in this new vintage, fully-ripened to lush flavors of apple, pear and papaya. Great concentration and length are in play, though the ripe fruit shows none of the lovely herbaceousness generally associated with this grape.",91
"Rides the Moscato wave with a sweet honeyed richness, carrying tangerine, apricot and lemon fruit. Fine acidity gives it a brisk, clean finish.",85
"The nose is shy and merely hints at lemon zestiness. The palate also opens with lemon zest but in a very concentrated full-on fashion with a citrus blast. There is a softer touch of orange and tangerine, too. The freshness is bundled and has ample drive and energy. This certainly is juicy, citrus fresh and off dry. The finish is whistle-clean and very refreshing.",92
"Smooth and soft, this easygoing wine has mild fruit and oak-spice flavors, low acidity and a touch of sweetness to round off any edges.",84
"Shows the silky dryness and elegance you want in a Pinot Noir, with brisk acidity framing sour cherry, pomegranate and persimmon fruit flavors. Really grows on you as it sits in the glass, warming up and developing complexity. The vineyard has been quite a successful source of grapes to several wineries, including Blessing.",90
"Massive and dark up front, with gritty aromas of herb, cola and black olive. It feels chunky, ripe and full bodied, bearing an herbal, minty flavor and notes of black fruit, licorice and earth. A chocolate/carob flavor marks the finish.",88
"Strong flavors of clove and mint dominate this unusual Riesling. It's quite dry, with good penetration, though a world apart from most of its peers. With the right food (Thai?), the potent flavors might prove complementary.",85
"This edition of Pietrabianca (a creamy Chardonnay from Puglia in southern Italy) shows nice integration between its fruit and oak elements. Both parties play a leading role in creating a rich, soft white wine with lingering tones of apricot and toasted almond.",88
"Jammy strawberry aromas are sweet and welcoming on the nose. A bit disjointed, with tangy acidity, the palate brings dark fruit tones of cherry, plum and berry.",85
"A rare wine for Portugal, a 100% Merlot, this is dense, very rich and spicy. Plenty of juicy black fruits are still developing along with the concentrated tannins. It's a wine that is close to being too concentrated, saved by the fresher fruity end. Drink from 2018.",90
"Made in a ripe, appealing style, this has rich flavors of pineapple jam, tropical fruit, vanilla and buttered toast, brightened by crisp acidity.",87
"This wine has great potential to emerge as a classic in the years to come, but is a bit tightly wound right now. Hearty roasted plum and blackberry aromas are coated in smoke, chocolate shavings and subtle violet on the nose. The sip starts bright before the strong tannins take hold, hiding the dark berry and minty flavors.",91
"Dusty cherry, wild berry and minerally aromas comprise a compact, deep nose that's entirely inviting. Juicy, bold and bright on the palate, with sturdy tannins, this offers exotic notes of cumin and baking spices along with wild berry flavors. It's elegant, complete and thorough on the finish; drink through 2020.",93
"This is a blend of Gewürztraminer, Riesling and Pinot Gris. This wine is deliciously balanced and, at this price, a super restaurant by-the-glass sipper. It's very crisp and fruity-spicy, and finishes a little sweet in honey vanilla. Nice by itself, or with Asian or Indian food.",88
"This earns its Best Buy designation for the rich, creamy orange, peach and tropical fruit flavors and the note of caramel-tinged vanilla from oak aging. It tastes sweet, but it provides what many consumers love about Chardonnay.",86
"An attractively round wine that's full both of fruit and acidity. The two complement each other well, highlighting the light apple and white peach fruits. The aftertaste is all about crisp, bright texture.",87
"This wine is a blend of fruit from Ranch at the End of the Road and Ciel du Cheval vineyards. Brooding aromas of dark raspberries, black plum, spice and mineral are followed by ripe generous full-bodied fruit flavors that display a lot of hedonism while retaining a spot-on sense of balance. It's sensational.",94
"Aromas of herbal red-berry fruits, tomato, leather and grass lead to a snappy, tight, drawn palate. Red-currant and plum-skin flavors are racy, while this Rufete, a variety rarely seen, is grabby and fairly astringent on the finish.",86
"A split blend of Cabernet Franc and Merlot, this shows a healthy mix of red currant and cranberry on the nose, with an mentholated herbal note adding lift. The palate is plush and round, with mildly grippy tannins and fresh, zippy red-fruit flavors.",87
"Loamy, ripe aromas of raisin and prune are neither exact nor direct. This has a heavy, tannic mouthfeel with balance issues. Rubbery plum and prune flavors finish with a soft, spread-out feel.",84
"Berry and cherry aromas are fruity and clean. This blend of Carignan, Grenache and Syrah is big on the palate but also tannic, acidic and fierce. Black plum, blackberry and tomato flavors finish crisp and firm.",87
"Crisp, dry, caramel- and red berry-flavored wine that has some crispness as well as good strawberry softness. There is some spice to finish. Screwcap.",84
"Lushly rich on both the nose and the palate, this wine from the heart of the appellation is etched in chocolate and cedar, showing a ying-yang pull between savory and sweet. Currant and dried herb season chalky, firm tannin and toasted oak.",91
"This opens with funky, earthy notes of blueberry, juniper and animal hide. The palate is chunky and jammy, which is welcome given 2011's cold conditions. Flavors of herbal blackberry, baked plum and spice finish with a note of green and heat as well as with acidic freshness.",88
"Extremely light in color save for a slight shade of pale pink, this awesome rose invites the nose with unique aromas of baked lemon and strawberry cream sauce, proving both delicate but richly layered. It's clean, crisp and quaffable on the palate, where lime rind and nectarine flesh make for a flavor profile that goes down like water.",91
"Pristine, primary tangerine and grapefruit flavors shine brilliantly throughout this crisp, light-footed Spätlese. It's dangerously quaffable, yet nuanced by shades of candlewax, mineral and saffron that extend the finish dramatically.",91
"Little aromatics can be discerned, but if pressed, there is a lightly vegetative note and a chalky, apple-like background. The light- to medium-bodied palate features a broad, tropical-fruit flavor, plus energized acids.",82
"This ripe and round wine offers good balance between lychee spiciness and acidity. It is warm and soft, approachable now with its smooth texture and fresh aftertaste.",85
"Starts out severely jumbled and hot, and while it always remains clumsy and over-the-top, it settles into a tolerable medicinal, syrupy sort of mode. Flavorwise, we're talking heavy blackberry and some cloying sweetness. Just a big, burly youngster without much future.",82
"Full in the nose, with leather and muted red and black fruit. The palate is big and oaky, with flavors of black plum and milk chocolate, and the finish is of modest length, with size and some tannins. This wine has all the typical Merlot characteristics, but in short order.",84
"This is a lovely, unadorned Chardonnay: no oak, no malo, just great fruit. The beauty and power of the Dijon clones is on full display, with penetrating citrus and apple fruit buoyed by punchy acidity that carries through a long finish.",91
"Extra Brut, yes, but the ripeness of the Chardonnay gives a rich, creamed apple character that balances the very dry aftertaste. It is still a fledgling Champagne needing to fill out. Give this until 2016 before drinking.",89
"Aged in large wood barrels, this is a big, powerful wine with medicinal, herbal aromas and a polished feel. The dark plums and bitter coffee give a rich aftertaste. Age for 5–6 years.",93
"As a contrast to Jonathan Maltus's Le Carré, this single-vineyard wine, from vines situated only 100 yards away, has a taut, mineral flavor, with an initial austere character which then opens out to give dark bitter chocolate and plum skin flavors. It is potentially a richer, more impressive wine, but it needs aging for 4–5 years.",92
"The merest touch of passion fruit enriches the ripe pear fruit apparent on the nose with a hint of the tropics. The palate is wonderfully zesty and the gorgeous grapefruit freshness harnesses all the ripe fruit into a driven force of joy. This is concentrated, juicy and utterly moreish.",93
"This is structured and firm, with its dry tannins prominent along with blackberry and black cherry acidity. The wine does have density, a dusty texture and the chance to further age.",88
"The Reserva version of Mural makes a powerful statement. Dark in color and packed with concentrated fruit, it is full of tannins as well as brooding black-plum flavors. Spice and juicy acidity complete the ensemble. It's a solid wine that needs to age to soften the tannic structure. Drink from 2017.",91
"The Arroyo Seco is a rocky bench between the Salinas Valley and the Santa Lucia Highlands. It's really great terroir for white wines because the conditions allow for extraordinarily long hangtime, while cool, foggy nights preserve vital acidity. You couldn't ask for a fresher, more vibrant Sauvignon Blanc than this one. It's bone dry and zesty and rich in pineapple, fig and mineral flavors, with a long, spicy finish.",90
"Violet, new leather, dark berry and herb aromas take center stage in this young red. The juicy palate offers crushed raspberry, tart cherry and licorice flavors, enveloped in soft tannins and bright acidity. This is what a Rosso should be: fresh, succulent and enjoyable.",88
"This wine's bright berry notes make it very accessible—the raspberry perfume is virtually irresistible. Those berries are capably framed by cedary elements, but on the palate, the structure of the wine is taut, wiry and crisp. Drink it over the next few years for its fruity appeal.",88
Peppery spice and simple but fresh dark fruit reminiscent of blueberry characterize this simple but very enjoyable rendition of Blaufränkisch. It may not be as concentrated as some but makes up for that in sheer drinkability.,88
"This 100% Syrah wine opens with ripe black-skinned fruit, roasted coffee, leather and cedar aromas. The full-bodied, concentrated palate offers dried blackberry, espresso, white pepper and star anise flavors, bolstered by ample, polished tannins. Enjoy through 2021.",91
"Quite tart and bone dry, this is made from fruit sourced from the Wallula Benches Vineyard—a site also prominently featured in Pacific Rim's Riesling lineup. Racy and gin-like in its flavor profile, it emphasizes botanical and citrus notes, with good penetration and length.",90
"This wine proclaims itself with forward and nicely integrated aromas of black currants, lavender and toasty oak. The wine displays a great deal of finesse, and the mouthfeel is velvety and rich, with dried cherry and anise flavors that extend through the spicy, long and even finish. A very impressive red with some tannins to lose, this is one Minervois that's capable—and worthy—of aging.",91
This well-balanced wine is both rich and tightly fresh and crisp. It's aromatic from the steely Chardonnay that treads a fine line between generous fruit and great minerality. The wine is just reaching its peak with touches of toast beginning to develop. Drink now through 2019.,92
"A stunningly beautiful Cabernet, made from the estate vineyard of all five classic Bordeaux varieties. Softly tannic and dry, it shows lush flavors of green olives, black cherries, anise and smoky oak that swirl into a long, impressive finish. Drinkable now for sheer beauty, it will develop over the next decade.",96
"Aromas of hay, dried Mediterranean herb, mature apricot and hazelnut lead the nose. The structured palate offers white peach, Bartlett pear, nectarine peel and mineral. Fresh acidity brightens the smooth, creamy texture.",91
"Crisp and fruity, this bright wine is full of lively acidity, tangy citrus and apple fruit and refreshing acidity. It is ready to drink.",88
"This Viura smells waxy and oxidized for a 2011. The palate feels chunky and awkward, while the flavor profile deals maderized pear and apple.",81
"Dark fruits, leather, compost and burnt aromas blend together on the nose. The palate is tannic and gritty feeling, while black fruit and herbal flavors lead to a narrow, mildly bitter finish containing chocolate and coffee. Solid but hard and herbal.",86
"Lots of new French oak gives this wine a pronounced taste of caramel, smoke and vanilla. That's on top of the massive blackberry, cherry, chocolate, green olive and pepper flavors. The result is delicious, but the wine is a bit too hot and soft for balance.",85
"Pure purple aromas of boysenberry jam and Concord grapes swirl amidst melted dark chocolate, maple-drizzled bacon and touches of beef carpaccio on the nose of this bottling from a coveted vineyard. Starting with strong blueberry and blackberry fruit, the palate then sizzles with acidity through the fine-grained tannic structure. The midpalate shows meaty depth with roasting herbs and minty lift throughout.",94
"Bright red currant is complemented by dark, brooding black fruit tones in this complex, nuanced and grippy wine, young and showy in its mountain genetics. Forest floor, mint, cedar and graphite fleck the fruit, with complexity knocking on the door.",94
"With a swirl, this wine's enticing new leather, eucalyptus, woodland berry and herb aromas unfold in the glass. The taut and savory palate offers sour cherry, crushed strawberry, star anise and white pepper notes. Refined tannins and firm acidity provide balance while a hint of coffee signals the close. Drink 2020–2029.",92
"Medium ruby in color, with slight bricking, the nose shows spiced raspberry notes with shades of darker brambles while sawdust and sweet baking spice tones add a bit of flair. Juicy Rainier cherry shows ample concentration on a palate lifted by soft tannins.",86
"This is a delightfully curious, multifaceted wine that's penetrating with flavors of dried fig, black tea, honey and smoke. A savory wet clay note is interspersed with a note of sweet spice, plus tea-leaf tannins that linger long on the finish.",90
"Cusumano is a terrific Sicilian estate that offers both high-end expressions and a consistent line of value wines. This well-priced Nero d'Avola is fresh, clear, fruit-forward and easy to drink.",86
"This is a very attractive, fruity and smooth wine in a plush style. Aromas of pear and pineapple turn to full flavors lightly spiced with vanilla. The texture is easy-going, mouthfilling and helps the flavors linger on the finish.",86
"Intensely smoky aromas seep through the palate of this unusual Chardonnay. Fresh apple and lemon flavors are pleasant, but overwhelmed by savory nut and smoke tones.",83
"Extreme spice, clove, black pepper and dark granite stone characterize the nose of this ripe Aglianico from Southern Italy. Mature notes of strawberry and raspberry play a supporting role and the wine is tart and crisp on the close. It would make an easy pairing to pasta and simple tomato sauce.",86
"This Yakima Valley Merlot is forward and light, with a dried leaf character complementing the fruit flavors of melon and strawberry. A peppery note strikes home in the finish, with just a hint of Band-Aid.",86
"This is heady for Chilean Chardonnay, with baked apple and no shortage of toast on the bouquet. It feels fresh but full, with polish and elegance to the mouthfeel. Flavors of apple and spiced squash end in a whirl of cinnamon and mild oak-related resin, while a final touch of acidity keeps things lively.",89
"Light and delicate on the nose, this single-vineyard Chardonnay shows white peach, honeysuckle and browned butter on the nose. There is good tension to the sip, but also riper flavors of apple cider, pan-seared pear and lemon preserves.",90
"This shows ripe cherry, plum and spice aromas, with hints of oak and mint. The palate is still a bit shy but reveals restrained notes of wild cherry, pepper and toasty, well-integrated oak. Drink 2015–2020.",89
"Strawberry and cherry aromas lead in to this layered but brisk rosé from Drama. On the palate, spices, tropical fruit and a finish of salinity give the wine elegant character. A delicious and versatile pour with exotic notes.",90
"This wine is spicy in forest floor and sage. Strawberry hull and cranberry notes mark the light-bodied palate, with a tightly-woven tapestry of subtle tannin.",88
"A simple but likeable Pinot Noir, this is light-bodied, dry and clean, with brisk, mouthwatering acidity. The flavors suggest cherry and raspberry Life Savers, with a hit of mint tea. Ready to drink now.",86
"This is a touch mealy on the nose, with ripe stone-fruit and melon aromas. A juicy, direct palate follows, with citrus and green-fruit flavors that finish quick and clean.",84
"Ripe wine with light acidity and flavors of red currants, caramel and spice. There is a full-bodied feel to the finish.",85
"This is pure Merlot from 10-year-old vines. Lush and chocolaty, it offers a broad, ripe and appealing set of seamless black fruit flavors. Powerful and high-toned, this adds licorice and mocha to the expansive finish.",90
"Consulting winemaker Ben Glaetzer has fashioned a reasonably full-bodied Cab for the Mitolo family, one that combines some superripe, verging on raisined, elements with hints of tobacco and herbs. Mint, cassis and chocolate round out the palate, finishing softly tannic. Drink now–2010.",87
"Barrel aged for 12 months, this 95% Merlot wine (with a dash of Cabernet Franc) is very dominated by its wood. That gives it a seriously toasty character that dominates the fruit. At five years old, it should be more balanced.",85
"Gorgeously lifted, fresh notes of lemon and mandarin peel make for a zesty opening. The midpalate fizzes with citric energy and is so tightly wound that this wine needs time in the cellar so the fruit can express itself. Drink 2017–2025.",93
"Bold and striking aromas of mushroom, seaweed and organic funk set this apart from the other Ken Wright vineyard designates. There's plenty of tart, tangy cherry fruit also, though it seems to hit a wall, perhaps due to the recent bottling. This is a wine that could score even higher with additional bottle age.",91
"On the nose, biscuit-crumb notes add a touch of sweetness to the crisp black-cherry and cassis scents. On the palate, darker tones of dried herb and briar patch contrast the lush black-fruit and violet flavors that linger luxuriously on the finish.",90
"Sensations of dark cherry, cinnamon-spice and a hint of orange peel can't support the searing alcohol that throws this out of balance. Drink now to capture the remaining freshness.",87
"Made entirely of Pinot Nero, this elegant, structured sparkler opens with aromas of rose, berry and yeasty sensations of freshly baked butter cookies. The palate delivers a nice depth of flavors including tart red apple, wild strawberry, sage and marjoram alongside brisk acidity and an elegant, persistent mousse. It's already delicious but will also age well over the next few years. Drink through 2019.",92
"The appetizing and enticing savoriness of freshly chopped dill runs like a faultline through this concentrated, yet elegant red. Ripe cherry hides behind the straightening tannins of oak and waits to burst out as this softens with a little bottle age. Very finely-knit tannins extend a gentle grip and frame a compelling, layered wine. Drink from 2016–2020.",93
"This Syrah smells meaty and roasted, with savory spice aromas and plenty of black fruit on the nose. It's chewy and creamy feeling, with blueberry and blackberry flavors in front of a short finish that's abrupt but clean.",87
"A good buy, compared to Roessler's more expensive bottlings. It's a county-wide blend, and quite a nice one. Crisp, dry and silky, it shows classic varietal flavors of cherries, cola, pomegranates and spices, accented with smoky sandalwood. Drink now.",90
"A highly aromatic and expressive wine, this explodes with scents of baked pineapple, ruby grapefruit, tangerine and apricot preserves. Fleshy, concentrated and focused, the palate has plenty of animated acidity. The flavor intensity is solid on the medium-to-long finish, ending with a touch of warmth.",88
"This is a muted, age-worthy and densely concentrated wine, with small amounts of Merlot, Syrah and Petit Verdot blended in, given almost two years in French oak, 75% of it new. The vineyard is on Howell Mountain and the imprint of mountain blackberry, black plum and dark chocolate is strong, with a touch of vanilla on the finish. Cellar through 2021.",91
"Rich and creamy in pineapple, orange and lime fruit, with a sweet coating of new oak, this Chardonnay is balanced with zesty acidity. It's an opulent, flashy wine.",90
"Opens with minerally, almost metallic aromas, along with rubber and berry mixed in. Feels fresh and ready, with plum, berry and chocolaty flavors. Finishes with a smooth feel, but maybe it could use a bit more cut and tannic structure. A wine that falls squarely in the middle zone.",85
"The spice and juicy fruit give the wine its intense strawberry flavor. To balance its fruit, the tannins lend a firm background structure. The wine has just the right weight, and its soft aftertaste, it's ready to drink now.",89
"This delivers soft aromas of leather, blackberry preserves, tobacco and dark chocolate. The grape is Negroamaro, and the wine's mouthfeel is rich, velvety and smooth.",88
"This opens with staunch green aromas that shout out bell pepper and herbaceous. But give it air and this Cabernet Sauvignon-led blend comes around to show spicy baked-berry flavors on a tannic, full-bodied frame. On the finish, it's herbal, stout and round, with leafy flavors to go with dark-fruit notes. Drink through 2018.",89
"A terrific wine, smooth, complex and ageworthy. Mainly Cabernet Sauvignon from Diamond Mountain, it shows mountain intensity of fruit, with a molten core of blackberries and black currants. The tannins are bigtime, yet smooth and refined in the modern style, and the finish is elaborate in fruits and spices. A monument to what this fine winery can achieve at the top level. Hold until 2015, after which it should provide great drinking for additional years.",95
"A delightful Pinot Grigio, perfect for drinking as an appetizer wine, or with anything from fried chicken to Vietnamese pho. It's crisp in acidity, which gives a balanced structure to the ripe lime, apple and peach fruit flavors.",86
"This displays primary aromas of black fruit along with whiffs of roasted herbs and espresso. The palate offers black plum, prune and Morello cherry accented by black pepper, coffee, toast and vanilla. Youthfully aggressive and tightly packed, this needs time to fully develop. Drink after 2022.",92
"Beefy, stocky aromas also bring herb, tomato and berry notes. The palate is jumpy and slightly medicinal, with currant, tomato, herb and plum flavors running the show. Medium in size, with level tannins and a juicy, good overall feel to it.",87
"Saturated raisiny aromas include notes of clove and nutmeg. This is huge and also tartaric in feel. Baked raisiny flavors are chocolaty, while savory, leathery notes add complexity to a hard, tannic finish.",88
"Roasted meat, floral notes, peppery spice...sounds rather nice. Add in silky tannins, hints of coffee and blueberry and a long finish, and you have a pretty wine at a realistic price. Drink now-2014.",90
"Light-bodied and modestly priced, this is a wine for a wide circle of friends, great for midweek meals and larger weekend gatherings. Hazelnut and caramel-honey confront the senses, while the palate offers balance and zesty acidity. The finish is soft and subtle.",90
"With fruit sourced from the Neive, Alba and Treiso areas, this Barbaresco shows loads of tradition and typicity with small berry nuances, tar, asphalt and granite mineral notes on the close. The mouthfeel is tight, sharp and long-lasting.",89
"This beauty is rich in raspberry and blackberry leaf aromas on the nose, which carry through to the palate and are joined by flavors of kirsch, clove, lavender and tobacco. Well integrated tannins and bright acidity lead to a long, smoky finish.",90
"The famed winery comes a bit south to make this earthy, savory wine, with smoked sage, leather, forest floor, cherry and slate on the nose. The palate packs elegantly tart cranberry and pure flavors of sage-smoked wild cherry with the juicy elements of an herb-crusted pork tenderloin roast.",94
"This Vignobles Dourthe wine is ripe and richly textured. Full and blackberry flavored, it is 84% Merlot, 11% Cabernet Sauvignon, 3% Cabernet Franc and 2% Petit Verdot. An attractive interplay between the fruit and the tannins gives a balanced wine. Drink from 2017.",87
"Ripe notions of fruit—typical for 2015—are apparent from the word go. There is juicy yellow plum and even a hint of tropicality—pineapple perhaps. This is rich and rounded, balanced with generous lemon freshness and textured with lees contact. There is weight on the midpalate, which leaves a lasting, if juicy impression.",91
"Here's a structured Barbera that opens with aromas of ripe black-skinned berry, toast, dark cooking spice and a just a whiff of coffee. The medium-bodied palate delivers tart cherry, red currant and clove alongside bright acidity and fine-grained tannins. A licorice note backs up the finish.",89
"Much higher production than Noceto's Riserva and sourced more broadly, this Sangiovese is more rustic and earthy, its cranberry flavors bursting from the seams, and would be yummy with thin-crust pizza.",85
"This is a sturdy, dry wine with hefty texture and straightforward, almost neutral flavors. It has an unusual salmon-amber color, light peach aromas and slightly earthy notes on the palate.",83
"Big, smoky fruit and a nicely honed structure combine well in this full-bodied wine with touches of red cherry and berry and toasted wood.",87
"A fashionable pale-salmon color, this dainty rosé opens with delicate floral aromas of sweet pea and white clover that are framed by fruity tones of red cherry and strawberry. The palate is fleshy and fruit-forward, buoyed by ample acidity that finishes fresh.",86
"Formerly the deLancellotti vineyard, Silice brings fresh, supple flavors of bright raspberry and cherry fruit. A distinctive ashy stone note forms the bassline, holding the finish firm. It should benefit from another year of bottle age. Or give it a long decant to enjoy now.",92
"Light in color, this delicate wine is herbal and yet bright in Bing cherry, quite nuanced and slight at first, unveiling its concentration and complexity slowly and seductively over time. Made by longtime grape growers, the acidity is lively and the weight slim, traces of restrained oak and garden herb dancing in the background. Only 54 cases made.",94
"A strong caramel aroma and flavor spoils the suggestions of fruit. They give a ripe, almost sweet character that doesn't match with the red-currant fruit flavors.",82
"This bright and spicy wine refreshes with palate-cleansing minerality. The crisp, fresh-cut pear and apple fruit carries hints of orange liqueur. Drink this while it's in the bloom of youth.",90
"Pale salmon pink, this is a beautiful wine both to look at and to taste. It combines a light touch of red fruits with bright acidity and a rich texture. Fresh and pure fruited, it will age through 2015.",92
"The winery's first 'Sweet Riesling' is somewhat aromatically reticent for the variety with notes of lychee, jasmine and apricot. The palate lives up to the label though with sweet (70g/L residual sugar) apricot and fresh mango flavors that linger on the finish.",87
"More than a slight hint of blush color (suggesting extra skin contact) leads into this broad, spicy, flavorful wine. Highlights of ginger, cinnamon and sweet baking spices adorn rich, mouthcoating pear fruit. It offers an enjoyable, drink-now style.",90
"All five vineyards contribute to this widely available blend. It's on the chunky side, with blocky black cherry and a frame of milk chocolate from aging 10 months in French oak. There's a dash of spice as it races through the finish.",89
"Light in color yet meaty on the palate, this is a youthful, tightly-wound red, firm in tannin and oak. The fruit profile is subtle, allowing spicier characteristics of cardamom and clove to shine.",91
"Focused crisp aromas of white fruits reflect a cool vintage. This is roughly one-quarter each Macabeo, Parellada, Xarello and Chardonnay, and it feels tight, fresh and focused. Dry stone-fruit flavors include a hint of lime, while this is clean on the finish.",90
"Sawdust and toast aromas lead the nose. The palate offers oak extract, licorice and bitter powdered sage but not much fruit richness. Raspy tannins generate an astringent finish.",86
"This 100% Cabernet is still too hard in tannins and acids, both which emphasize the wine's rasping dryness. There's a good core of black currants that might emerge after a long time in the cellar. Perhapstash it away until 2024 and see what happens.",86
"Enviable structure marks this lovely wine that appears to have been made in a slightly reductive style. Light oak, a bouquet of dried herb and vanilla ride along a medium-bodied texture that's soft and silky, with a panache of juicy blackberry and currant on the finish.",91
"This year's best expression from the celebrated Rabajà cru, Bruno Rocca presents a beautifully integrated Barbaresco that shows equal parts fruit (prune, plum and cassis) and spice (vanilla, root beer and clove). The wine is smooth, silky and very enduring on the close with excellent structure. Drink after 2015.",94
"Made using fruit sourced from a parcel of vines more than 60 years old, this is a dense, dark wine, with herb, dark fig and plum notes. Solid and concentrated, it has a firm texture, and the dusty tannins match well with the ripe fruit. Age for 7–8 years.",92
"While the wine is very young, the potential is there. It has rich tannins and berry fruits that are packed with youthful acidity. The structure and the depth of flavor are there with a hint of the juicy fruits as well as the minerality that are both developing. Drink from 2018.",92
"Made from 70% Cabernet Sauvignon, 25% Saperavi and 5% Rara Neagra, this wine has a nose of leather, cherry, black raspberry, fig and black plum. Flavors of fresh fig, spice and black plum slowly dissipate on the enduring finish.",90
"Ripe stone fruit notes, especially aromatic Mirabelle plum, rise from the glass, alongside more evolved chamomile tisane scents. With its slight bottle age, this shows where evolution can lead Grüner Veltliner. The palate retains its zesty, salty savoriness yet is wonderfully concentrated. Juicy Mirabelle reappears on the long, savory finish.",92
"From the Ranch House block of the famous vineyard, this fleshy, lushly layered wine made by Kenneth Juhasz, is robust with cardamom and strawberry flavors. It builds intensity as it opens, revealing a velvety texture.",91
"This stunning wine opens with a multifaceted fragrance of underbrush, leather, spice, woodland berries and violets, with a whiff of mint. The layered palate delivers a vibrant core of succulent black cherry accented with white pepper and balsamic herbs. It's still young and structured with forceful yet fine tannins so give it time to develop fully. Drink 2015–2025.",95
"This is a Zweigelt with an identity crisis that thinks it may be Pinot Noir. It's elegant and silky, with a gentle tannic touch, refreshing acidity and restrained but evocative redcurrant and cranberry fruit. Overtones of peony and iris make this more intriguing, while there is substance despite its light body. This is delicious now, but will reward cellaring for one to two years to let earthy, tertiary flavors develop. Drink from 2014.",92
"Stéphane Defraine's wine with its attractive fruitiness is well balanced, bright and crisp. It has a refreshing character, juicy with red-currant fruit and delicious acidity, making it a great summer apéritif wine.",88
"Named after the valley where the vineyard is situated, this red-fruited spicy wine is crisp. There are soft tannins and attractive acidity. Drink now.",85
"Darker and riper in tone than the winery's Walker Hill Vineyard bottling, this is creamy and lush, with toasty caramel accents and spicy, tropical fruit. Balanced in acidity and soft in tannins, it is structured and rich, highlighting the beauty and diversity of Green Valley.",94
"Here's a beautifully aged Amarone from an excellent vintage. Masi's Mazzano is a benchmark wine for Valpolicella thanks to its intriguing complexity of aromas: black cherry, dried fruit, porcini mushroom, dark chocolate, vanilla bean and dark resin like the kind you'd smell in an antique furniture shop. The wine has a slightly brownish hue and remarkable penetration.",94
"It's so much fun to see copper-colored Pinot Grigios like this one because they evoke the way the wine was traditionally made before it gained such wide commercial success. Here, you will find aromas of mature peach, pear and some slightly oxidized almond-like notes as well.",87
"Three vintages into this project, and it seems like Arte de Vivir has found its stride. At this price, finding a good Ribera wine is akin to the proverbial needle in the haystack; so seek out this meaty, ripe number and dig into its plum and berry body that's backed by vanilla, coconut and good tannic structure.",89
"Fresh and crisp with a very bright pink color and measured aromas of raspberry, strawberry and rose petal, this is a perky wine that aspires to informal summer sipping. The wine delivers power and intensity and a crisp feel that would pair beautifully with Thai curry shrimp.",85
"This is reduced and cedary up front, with hard black-fruit aromas. The mouthfeel is big but loose, with strong tannins supporting oaky flavors of prune, cocoa, coconut and licorice. It finishes minty and dark, with graphite overtures.",87
"The aromas are exuberant, with notes of apricot, jasmine and honeysuckle. It drinks off dry, with abundant stone-fruit flavors that linger on the finish.",90
"Bold tannins and firm acidity make this wine a bit stiff to enjoy now, but it should benefit from aging through 2020. Aromas are lightly earthy, while flavors reflect cranberry and tart cherry. The texture carries a tooth-coating layer of tannins.",87
"Made from 100% Lake County-grown Riesling grapes, this opens with sweet aromas of nectar and golden honey. It's pretty and off dry (30 g/L residual sugar), remaining balance because of its crisp acidity.",88
"Tight and compact, this delivers tangy, spicy intensity that's packed around a solid core of red fruit. The midpalate is driven by sensations of cherry, cassis and blackberry, and the finish shows signs of smoky barbecue and roasted chestnut.",91
"This full, round wine melds rich pear and tangerine flavors with fine acidity. It's crisp, fragrant and ripe, showing some signs of bottle age in its toasty character.",88
"Moderately stalky aromas of tomato and horsey plum lead to berry and plum flavors that are herbal and stalky, much like the nose. A roasted, stalky character is maintained on the finish.",85
"This big, lush, friendly and serious Malbec is packed with prune, blackberry and toast aromas. On the palate, it's deep and layered, the perfect bed for flavors of blackberry, chocolate and herb to fill. Huge for sure, but still complex, with dynamite prune and licorice notes on the finish. Drink now–2015.",92
